TeckRank_int,rank_CB_normlized,name
333.0,8739.0,Alignment Healthcare
334.0,5252.0,Fresenius Medical Care North America
335.0,5271.0,Cricket Health
336.0,726.0,electroCore
337.0,628.0,OS Therapies
338.0,9498.0,Tomorrow Health
339.0,5378.0,Rejoy Health
340.0,3769.0,InterWell Health
341.0,2605.0,Zenflow
342.0,3750.0,Meru Health
343.0,2617.0,Inari Medical
344.0,7021.0,Thirty Madison
345.0,3738.0,Shockwave Medical
346.0,5871.0,Respicardia
347.0,3339.0,Praava Health
348.0,3357.0,Sofía
349.0,3706.0,Current Health
350.0,3653.0,Earlens Corporation
351.0,545.0,Octave
352.0,3647.0,MedShape
353.0,8765.0,Truepill
354.0,3646.0,Progyny
355.0,8692.0,Boston Scientific
356.0,3855.0,ImmunityBio
357.0,973.0,Intuity Medical
358.0,7489.0,Treace Medical Concepts
359.0,9137.0,Rightway
360.0,1396.0,NOCD
361.0,4429.0,Bioventus
362.0,4647.0,Quanta
363.0,2154.0,XRHealth
364.0,4521.0,Tesseract Health
365.0,6015.0,Elation Health
366.0,2135.0,Mankind Pharma
367.0,4296.0,Alveo Technologies
368.0,4294.0,Asensus Surgical
369.0,1909.0,Kate Farms
370.0,8193.0,SteadyMD
371.0,8439.0,Ophelia
372.0,1898.0,HALO Diagnostics
373.0,4949.0,Capital Rx
374.0,8280.0,WELL Health Technologies
375.0,2190.0,CureApp
376.0,342.0,Envision Healthcare
377.0,898.0,Arrail Dental Clinic
378.0,6009.0,Mantra Health
379.0,4573.0,Calibrate
380.0,4554.0,AdaptHealth
381.0,1102.0,Ciox Health
382.0,1958.0,Aloe Care Health
383.0,6008.0,Oak Street Health
384.0,8358.0,Canvas Medical
385.0,6570.0,Moray Medical
386.0,6378.0,Visby Medical
387.0,312.0,Bloom Diagnostics
388.0,5058.0,Nuna Incorporated
389.0,1259.0,Vivante Health
390.0,1949.0,Practice Fusion
391.0,4390.0,UroMems
392.0,1728.0,Contessa
393.0,1952.0,Orca Bio
394.0,6645.0,Iora Health
395.0,9253.0,Somatus
396.0,4882.0,Empiric Health
397.0,6783.0,Parsley Health
398.0,4877.0,PQ Bypass
399.0,2316.0,Ciitizen
400.0,5974.0,SoYoung Technology
401.0,5484.0,Sense Biodetection
402.0,4103.0,Everside Health
403.0,2343.0,Certintell
404.0,5568.0,RefleXion Medical
405.0,5493.0,Sprout Therapy
406.0,1391.0,Dental Monitoring
407.0,406.0,Longboard Pharmaceuticals
408.0,7.0,Saluda Medical
409.0,8100.0,Cerebral
410.0,9343.0,Crossover Health
411.0,4565.0,Wellthy
412.0,5494.0,DaVita
413.0,5077.0,Zenyum
414.0,950.0,Imperative Care
415.0,5574.0,Verano Holdings
416.0,8328.0,PathAI
417.0,1435.0,WeSana Health
418.0,1297.0,Synendos Therapeutics
419.0,4497.0,MedMinder Systems
420.0,1821.0,Ontrak
421.0,4817.0,HealthJoy
422.0,234.0,BioSerenity
423.0,4493.0,Soothe
424.0,46.0,Ilara Health
425.0,6115.0,Allurion Technologies
426.0,4242.0,Pulmonx
427.0,5227.0,Authzed
428.0,5545.0,OpenText Corporation
429.0,9962.0,Amazon Web Services
430.0,2822.0,MayaData
431.0,8608.0,Abacum
432.0,5961.0,Ubuntu
433.0,7647.0,AppLearn
434.0,8551.0,Typeform
435.0,1606.0,CloudSense
436.0,5313.0,CodeLogic
437.0,4821.0,Filevine
438.0,4921.0,BusRight
439.0,9531.0,Camunda
440.0,1823.0,Mos
441.0,5751.0,NEAR
442.0,4570.0,StackPulse
443.0,569.0,Vendr
444.0,1920.0,Gryps
445.0,8596.0,xMatters
446.0,7570.0,Aviatrix Systems
447.0,4637.0,Volterra
448.0,3375.0,Fiix Software
449.0,9124.0,PAR Technology
450.0,2970.0,Sanity
451.0,7236.0,Oracle
452.0,4682.0,ScyllaDB
453.0,120.0,ThinkTilt
454.0,9795.0,GitLab
455.0,7737.0,Quantum
456.0,1672.0,Simplus
457.0,4332.0,Skedulo
458.0,2166.0,Ninja RMM
459.0,1685.0,Faction
460.0,9392.0,OneStream Software
461.0,2621.0,Zenoss
462.0,2441.0,Zomentum
463.0,7821.0,Assembled
464.0,8980.0,airSlate
465.0,1411.0,Inrupt
466.0,706.0,Tidelift
467.0,4234.0,Converge Technology Solutions
468.0,5909.0,Salto
469.0,4218.0,RudderStack
470.0,3567.0,Alchemy
471.0,791.0,XebiaLabs
472.0,4010.0,Nimbly Technologies
473.0,8271.0,3PL Central
474.0,55.0,WSO2
475.0,2371.0,IBS Software Services
476.0,2288.0,Oomnitza
477.0,159.0,Unisys Corporation
478.0,343.0,Smartcat
479.0,1234.0,ERP Maestro
480.0,7878.0,ANSYS
481.0,7374.0,Aryaka Networks
482.0,1593.0,Zenotta
483.0,5570.0,Coder
484.0,5182.0,Ayla Networks
485.0,4513.0,Weaveworks
486.0,418.0,Trilio
487.0,3243.0,ClearObject
488.0,1219.0,Magic Software Enterprises
489.0,2633.0,Visualping
490.0,9303.0,Causal
491.0,6363.0,SkillSoft
492.0,2024.0,QingCloud
493.0,660.0,ReverseLogix
494.0,6415.0,NS1
495.0,855.0,Balena
496.0,500.0,Stoplight
497.0,3632.0,Internal
498.0,5531.0,Carbonite
499.0,9967.0,Docker
500.0,213.0,DartPoints
501.0,9484.0,Algolia
502.0,355.0,Quantum Machines
503.0,7932.0,Strangeworks
504.0,8827.0,Retool
505.0,2525.0,IRIS Software Group
506.0,296.0,Buildkite
507.0,2819.0,Consolidated Comunications Holdings
508.0,4596.0,Princeton Digital Group
509.0,5560.0,Kepler Communications
510.0,29.0,VoltDB
511.0,2405.0,Hortonworks
512.0,8263.0,Logi Analytics
513.0,128.0,Tresata
514.0,9208.0,LaunchDarkly
515.0,621.0,Vectorized
516.0,9341.0,Affogata
517.0,9614.0,MicroStrategy
518.0,6119.0,StreamSets
519.0,9527.0,Sumo Logic
520.0,9286.0,Neo4j
521.0,3321.0,Grow
522.0,2134.0,Xcalar
523.0,8450.0,Tetrate
524.0,4897.0,Hex Technologies Inc.
525.0,3310.0,Koverse
526.0,4701.0,Ardoq
527.0,611.0,Ascend.io
528.0,1833.0,Infinity
529.0,6583.0,Split Software
530.0,7304.0,PingCAP
531.0,2150.0,ICF
532.0,1874.0,TRM Labs
533.0,6705.0,Polygon (Previously Matic Network)
534.0,4739.0,Bellhops
535.0,8502.0,NEO
536.0,5594.0,X Shore
537.0,1871.0,BiLira
538.0,2988.0,Ralali
539.0,1135.0,Cajoo
540.0,8184.0,Dopple
541.0,7921.0,Jushi Holdings
542.0,5468.0,Allegro
543.0,5654.0,Catawiki
544.0,7338.0,Tiki Corporation
545.0,1.0,Printo
546.0,498.0,Fast
547.0,354.0,Huboo
548.0,5835.0,Future Retail
549.0,5853.0,Beldara
550.0,5019.0,KrazyBee
551.0,4025.0,OnBuy
552.0,6266.0,Amenify
553.0,6236.0,Wayflyer
554.0,3297.0,iPrice Group
555.0,1431.0,Notonthehighstreet
556.0,263.0,Superdry
557.0,3586.0,Restoration Hardware
558.0,7589.0,AmerisourceBergen
559.0,8841.0,Cohere Health
560.0,409.0,Visiopharm
561.0,7627.0,Summus Global
562.0,6774.0,DexCare
563.0,4848.0,ExplORer Surgical
564.0,7117.0,AlayaCare
565.0,7617.0,Seqster
566.0,5535.0,Medrio
567.0,6410.0,Cloud DX Inc
568.0,1757.0,Apervita
569.0,5863.0,Modernizing Medicine
570.0,3532.0,Oxehealth
571.0,9385.0,Glytec
572.0,6109.0,Vezeeta
573.0,3874.0,Castor
574.0,7231.0,Vector
575.0,5470.0,4D Healthware
576.0,1621.0,K4Connect
577.0,292.0,Suvoda
578.0,4140.0,Datrium
579.0,5670.0,Spatial
580.0,273.0,Datavail
581.0,8404.0,Cyberdyne
582.0,6865.0,CoScreen
583.0,9206.0,Rec Room
584.0,4033.0,Immersed Inc.
585.0,632.0,Spireon
586.0,4805.0,Aerodyne Group
587.0,8759.0,StarkWare Industries
588.0,5412.0,API3
589.0,9919.0,Atlassian
590.0,3118.0,Xentral
591.0,6269.0,E2open
592.0,8550.0,Nitro
593.0,4830.0,ProcessMaker
594.0,3131.0,Unmarshal
595.0,7466.0,Civic Eagle
596.0,1812.0,Slite
597.0,3150.0,Spacemesh
598.0,4791.0,eFounders
599.0,1335.0,Calixa
600.0,829.0,Bugsnag
601.0,9568.0,Tasktop
602.0,7621.0,Argyle
603.0,8415.0,Smartsheet
604.0,9811.0,Asana
605.0,6043.0,Sommelier
606.0,8197.0,Agora.io
607.0,776.0,Trade Ledger
608.0,1846.0,Futu Holdings
609.0,3898.0,Acin
610.0,1134.0,Covered by SAGE
611.0,480.0,Axle
612.0,7891.0,Airbase
613.0,1101.0,Neos
614.0,2103.0,Hatch
615.0,4318.0,Pennylane
616.0,5628.0,Athena
617.0,8790.0,Alto Solutions
618.0,2189.0,Pomelo Pay
619.0,8944.0,SaltPay
620.0,3207.0,CrossBorder Solutions
621.0,7320.0,Tazapay
622.0,4319.0,Vistex
623.0,9651.0,Avalara
624.0,4683.0,Managed by Q
625.0,10024.0,Newchip
626.0,3695.0,B-Stock Solutions
627.0,3690.0,Deposco
628.0,1483.0,Boston Seed Capital
629.0,6564.0,Revel Systems
630.0,8853.0,PopCom
631.0,5987.0,Charles
632.0,2786.0,Quartzy
633.0,8106.0,Self Financial
634.0,1186.0,Motif
635.0,9725.0,LetsVenture
636.0,4376.0,Stockbit
637.0,6014.0,PolicyBazaar
638.0,9399.0,Mogo
639.0,1845.0,Fi.Money
640.0,2081.0,Plentina
641.0,5622.0,Kalshi
642.0,1914.0,KreditBee
643.0,7109.0,Ladder
644.0,7474.0,Qoala
645.0,2597.0,Lloyd's
646.0,7268.0,IFTTT
647.0,3088.0,NETSTARS Japan
648.0,5452.0,Holo
649.0,8047.0,Sogou
650.0,2731.0,SentiLink
651.0,8002.0,Pixxel
652.0,6946.0,Wecash
653.0,7105.0,SteelEye
654.0,8549.0,SmartAsset
655.0,4078.0,Kueski
656.0,1225.0,BetterTradeOff
657.0,3132.0,EZ Texting
658.0,1866.0,Zenput
659.0,2420.0,Ionic
660.0,6802.0,AlertMedia
661.0,5723.0,GirnarSoft
662.0,8264.0,Friday Health Plans
663.0,1387.0,VisitPay
664.0,9799.0,Bright Health
665.0,4491.0,Waterdrop
666.0,5086.0,Alice
667.0,6835.0,Gravie
668.0,954.0,Decent
669.0,9345.0,Health IQ
670.0,3650.0,GoHealth
671.0,1562.0,Immediate
672.0,1705.0,Zelis
673.0,5669.0,ottonova
674.0,8491.0,BrightPlan
