initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
338,SIOS Technology Corp.,0,3.229,181961.0,3.8490880915484564,3687.0,158.0
203,ID Quantique,0,3.234,19406.0,3.8550482775062584,166242.0,159.0
202,I-Soon,0,3.234,113038.0,3.8550482775062584,72610.0,160.0
204,IP Ghoster,0,3.234,168198.0,3.8550482775062584,17450.0,161.0
211,Intego,0,3.238,158402.0,3.8598164262725,27246.0,162.0
372,Senrio,0,3.247,71032.0,3.8705447609965433,114616.0,163.0
14,Dilitrust,0,3.252,170200.0,3.876504946954345,15448.0,164.0
283,Global Debt Registry (GDR),0,3.257,158992.0,3.8824651329121473,26656.0,165.0
367,Platform.sh,0,3.271,7051.0,3.8991536535939924,178597.0,166.0
236,Threatcare,0,3.272,8055.0,3.900345690785553,177593.0,167.0
345,Ziggli,0,3.274,114870.0,3.9027297651686736,70778.0,168.0
119,Fortem,0,3.274,71664.0,3.9027297651686736,113984.0,169.0
120,Divebell,0,3.274,166132.0,3.9027297651686736,19516.0,170.0
28,Okta Ventures,0,3.294,55643.0,3.926570508999881,130005.0,171.0
381,Itsme,0,3.301,92811.0,3.9349147693408035,92837.0,172.0
158,BlueVoyant,0,3.302,3121.0,3.936106806532364,182527.0,173.0
351,"Gomez, Inc.",0,3.307,155139.0,3.9420669924901657,30509.0,174.0
246,LBE Security Master,0,3.312,90796.0,3.9480271784479677,94852.0,175.0
197,Reflectiz,0,3.317,20420.0,3.95398736440577,165228.0,176.0
459,NexDefense,0,3.323,34707.0,3.961139587555132,150941.0,177.0
357,NVX Clouds Tech,0,3.324,44220.0,3.9623316247466924,141428.0,178.0
379,Hammerspace,0,3.325,133727.0,3.963523661938253,51921.0,179.0
56,Gotrida BV,0,3.331,113056.0,3.970675885087615,72592.0,180.0
284,AppInsight,0,3.339,46809.0,3.980212182620098,138839.0,181.0
109,Wombat Security Technologies,0,3.354,19486.0,3.998092740493504,166162.0,182.0
248,Milo,0,3.355,104467.0,3.999284777685064,81181.0,183.0
217,Ultra Electronics,0,3.358,49378.0,4.002860889259746,136270.0,184.0
107,ASSA ABLOY Group,0,3.36,83130.0,4.005244963642866,102518.0,185.0
462,OneTrust,0,3.368,107.0,4.014781261175349,185541.0,186.0
199,Guardium,0,3.37,164247.0,4.017165335558469,21401.0,187.0
297,Data Theorem,0,3.372,117357.0,4.0195494099415905,68291.0,188.0
339,Inky,0,3.379,5572.0,4.027893670282513,180076.0,189.0
305,PeerStream,0,3.381,50656.0,4.030277744665634,134992.0,190.0
463,TripleBlind,0,3.383,3711.0,4.032661819048754,181937.0,191.0
271,TrackOFF,0,3.386,75645.0,4.036237930623436,110003.0,192.0
400,Helm,0,3.386,25298.0,4.036237930623436,160350.0,193.0
374,datumSURE,0,3.392,109798.0,4.043390153772798,75850.0,194.0
434,Talend,0,3.409,1264.0,4.063654786029324,184384.0,195.0
145,Deep-Secure,0,3.411,163729.0,4.066038860412445,21919.0,196.0
144,Quarri Technologies,0,3.411,67204.0,4.066038860412445,118444.0,197.0
333,Omnigo Software,0,3.415,123660.0,4.0708070091786865,61988.0,198.0
106,FORT Robotics,0,3.415,2254.0,4.0708070091786865,183394.0,199.0
403,Online Check Writer,0,3.415,27669.0,4.0708070091786865,157979.0,200.0
213,Textron Systems,0,3.416,172559.0,4.071999046370247,13089.0,201.0
214,Stonelock,0,3.416,53027.0,4.071999046370247,132621.0,202.0
31,Sulfagenix,0,3.418,86091.0,4.074383120753368,99557.0,203.0
229,Attunity,0,3.418,22841.0,4.074383120753368,162807.0,204.0
310,Zcash,0,3.419,29945.0,4.075575157944929,155703.0,205.0
127,Cybellum,0,3.422,14155.0,4.07915126951961,171493.0,206.0
344,Kinamik Data Integrity,0,3.423,110499.0,4.08034330671117,75149.0,207.0
446,Brainloop,0,3.428,27558.0,4.086303492668971,158090.0,208.0
317,Vence,0,3.431,12406.0,4.089879604243653,173242.0,209.0
429,Roadi,0,3.432,144847.0,4.091071641435214,40801.0,210.0
350,Avnon Group,0,3.433,182340.0,4.092263678626773,3308.0,211.0
445,Secure Privacy,0,3.438,180078.0,4.098223864584575,5570.0,212.0
413,Gofind.Online,0,3.449,163119.0,4.111336273691739,22529.0,213.0
173,L7 Defense,0,3.449,25972.0,4.111336273691739,159676.0,214.0
171,Oceansblue Systems,0,3.449,117903.0,4.111336273691739,67745.0,215.0
172,EXOsecure,0,3.449,85991.0,4.111336273691739,99657.0,216.0
170,Vault One,0,3.449,86906.0,4.111336273691739,98742.0,217.0
174,Garrison Technology,0,3.449,19706.0,4.111336273691739,165942.0,218.0
406,nPhase,0,3.45,134702.0,4.1125283108833,50946.0,219.0
187,Towerwall,0,3.456,151995.0,4.119680534032662,33653.0,220.0
326,Stabilitas,0,3.472,28341.0,4.138753129097628,157307.0,221.0
